name,type,inhouse
Agelocer Caliber A4610,Automatic,
Alpina Caliber AL-525,Automatic,
Alpina Caliber AL-725,Automatic,
Alpina Caliber AL-880,Automatic,
Armand Nicolet Caliber AN2846-9,Automatic,
A. Schild Caliber AS 1361N,Automatic,
A. Schild Caliber AS 1580,Automatic,
Audemars Piguet Caliber 2225,Automatic,
Audemars Piguet Caliber AP 3120,Automatic,
Ball Caliber RR1103,Automatic,
Ball Watch Caliber 2050,Automatic,
Ball Watch Caliber RRM7309-C,Automatic,
Baume et Mercier Baumatic,Automatic,
Baume & Mercier Caliber BM 12800,Automatic,
Blancpain Caliber 13P8,Automatic,
Blancpain Caliber F185,Automatic,
Breitling Caliber 17,Automatic,
Breitling Caliber 32,Automatic,
Breitling Caliber 49,Automatic,
Breitling Caliber B01,Automatic,
Breitling Caliber B04,Automatic,
Breitling Caliber B20,Automatic,
Breitling Caliber B35,Automatic,
Bulgari Caliber 220,Automatic,
Carl F. Bucherer Caliber CFB T3000,Automatic,
Cartier Caliber 049,Automatic,
Cartier Caliber 1847 MC,Automatic,
Chronode Caliber C102,Automatic,
Chronoswiss Caliber C122,Automatic,
Citizen Caliber 8210,Automatic,
Citizen Caliber 8213,Automatic,
Citizen Caliber 8310,Automatic,
Citizen Caliber 9011,Automatic,
Citizen Caliber 9054,Automatic,
Clerc Caliber C609,Automatic,
Dandong/Peacock Caliber SL-3006,Automatic,
Davosa Caliber DAV 3021,Automatic,
Davosa Caliber DAV 3023,Automatic,
Dubois Dépraz Caliber 2035M (SW300-1),Automatic,
Ebel Caliber 134,Automatic,
ETA Caliber 2000-1,Automatic,
ETA Caliber 2094,Automatic,
ETA Caliber 2523,Automatic,
ETA Caliber 2525,Automatic,
ETA Caliber 255.112,Automatic,
ETA Caliber 2671,Automatic,
ETA Caliber 2813?,Automatic,
ETA Caliber 2824-2,Automatic,
ETA Caliber 2825-2,Automatic,
ETA Caliber 2834-2,Automatic,
ETA Caliber 2836-2,Automatic,
ETA Caliber 2842-2,Automatic,
ETA Caliber 2870,Automatic,
ETA Caliber 2872,Automatic,
ETA Caliber 2878,Automatic,
ETA Caliber 2892A2,Automatic,
ETA Caliber 2893-2,Automatic,
ETA Caliber 2894-2,Automatic,
ETA Caliber 2896,Automatic,
ETA Caliber 2897,Automatic,
ETA Caliber 2899,Automatic,
ETA Caliber 7754,Automatic,
ETA Caliber A31.L11,Automatic,
ETA Caliber C01.211,Automatic,
ETA Caliber C07.621,Automatic,
ETA Caliber C07.XXX,Automatic,
ETA Caliber C15.111,Automatic,
ETA Powermatic 80.611,Automatic,
ETA Valgranges Caliber A07.161,Automatic,
ETA Valgranges Caliber A07.171,Automatic,
ETA Valgranges Caliber A07.211,Automatic,
ETA/Valjoux Caliber 7750,Automatic,
ETA/Valjoux Caliber 7751,Automatic,
ETA/Valjoux Caliber 7753,Automatic,
ETA/Valjoux Caliber 7755,Automatic,
ETA/Valjoux Caliber A05.231,Automatic,
Eterna Caliber 3030,Automatic,
Felsa Caliber 693,Automatic,
Franck Muller Caliber FM 7003,Automatic,
Frederique Constant Caliber FC-303,Automatic,
Gerald Charles Caliber GCA 3024/12,Automatic,
Ginault Caliber 7275,Automatic,
Girard Perregaux Caliber GP 3387,Automatic,
Glashutte Original Caliber GO 100,Automatic,
Glashutte Original Caliber GO 39-50,Automatic,
Glashutte Original Caliber GO 90,Automatic,
Glycine Caliber GL224,Automatic,
Glycine Caliber GL293,Automatic,
Glycine Caliber GL 754,Automatic,
GoS Caliber GOS03,Automatic,
Graham Caliber G1749,Automatic,
Grand Seiko Caliber 9R65,Automatic,
Grand Seiko Caliber 9S65,Automatic,
Grand Seiko Caliber 9S66,Automatic,
Grand Seiko Caliber 9S85,Automatic,
Grand Seiko Caliber 9S86,Automatic,
Grand Seiko Caliber 9SC5,Automatic,
Gucci Caliber GG727.25.T,Automatic,
Gucci Caliber GG.V838.MP,Automatic,
Hamilton Caliber H-10,Automatic,
Hamilton Caliber H-10-S,Automatic,
Hamilton Caliber H-12,Automatic,
Hamilton Caliber H-13,Automatic,
Hamilton Caliber H-21,Automatic,
Hamilton Caliber H-30,Automatic,
Hamilton Caliber H31,Automatic,
Hangzhou Caliber 2C10,Automatic,
Hangzhou Caliber 2C30,Automatic,
Hangzhou Caliber 6460,Automatic,
Hermes Caliber H1837,Automatic,
H.K. Precision Technology Caliber PT5000,Automatic,
H. Moser & Cie Caliber HMC 804,Automatic,
Hublot Caliber HUB1280 (Unico 2),Automatic,
Hublot Caliber HUB9011,Automatic,
Hublot Caliber UNICO HUB1241,Automatic,
Ingersoll Caliber 219A,Automatic,
Ingersoll Caliber 416,Automatic,
Ingersoll Caliber 419,Automatic,
Ingersoll Caliber 432,Automatic,
Ingersoll Caliber 520,Automatic,
Ingersoll Caliber 522,Automatic,
Ingersoll Caliber 523,Automatic,
Ingersoll Caliber 526,Automatic,
Ingersoll Caliber 619,Automatic,
Ingersoll Caliber 735,Automatic,
Ingersoll Caliber 886,Automatic,
Ingersoll Caliber IN 422A,Automatic,
INTER T SA Caliber IT10,Automatic,
Invicta Caliber JSD-006ZY,Automatic,
IWC Caliber 32111,Automatic,
IWC Caliber 32150,Automatic,
IWC Caliber 69380,Automatic,
IWC Caliber 69385,Automatic,
IWC Caliber 69385,Automatic,
IWC Caliber 7922,Automatic,
IWC Caliber 79350,Automatic,
IWC Caliber 82650,Automatic,
Jaeger-LeCoultre Caliber JLC 770,Automatic,
Jaeger-LeCoultre Caliber JLC 889/2,Automatic,
Jaeger-LeCoultre Caliber JLC 899,Automatic,
Jean Marcel Caliber JM A05,Automatic,
Junghans Caliber J880.1,Automatic,
La Joux-Perret Caliber LJP-G100,Automatic,
La Joux-Perret Caliber LJP-G101,Automatic,
Landeron Caliber Landeron24 (L24),Automatic,
Longines Caliber L157,Automatic,
Longines Caliber L595,Automatic,
Longines Caliber L619,Automatic,
Longines Caliber L687,Automatic,
Longines Caliber L688.2,Automatic,
Longines Caliber L704.2,Automatic,
Longines Caliber L844.4,Automatic,
Longines Caliber L844.5,Automatic,
Longines Caliber L888,Automatic,
Longines Caliber L888.4,Automatic,
Longines Caliber L888 ND,Automatic,
Longines Caliber L893.5,Automatic,
Longines Caliber L899.2,Automatic,
Maurice Lacroix Caliber ML-112,Automatic,
Maurice Lacroix Caliber ML 115,Automatic,
Maurice Lacroix Caliber ML 191,Automatic,
MB&F Caliber HM8 Mark 2,Automatic,
Mido Caliber 60,Automatic,
Mingzhu Caliber DG5833,Automatic,
Miyota Caliber 6N10,Automatic,
Miyota Caliber 8203,Automatic,
Miyota Caliber 8205,Automatic,
Miyota Caliber 8215,Automatic,
Miyota Caliber 8217,Automatic,
Miyota Caliber 8218,Automatic,
Miyota Caliber 8219,Automatic,
Miyota Caliber 821A,Automatic,
Miyota Caliber 8245,Automatic,
Miyota Caliber 8247,Automatic,
Miyota Caliber 8285,Automatic,
Miyota Caliber 82S0,Automatic,
Miyota Caliber 82S5,Automatic,
Miyota Caliber 82S7,Automatic,
Miyota Caliber 8315,Automatic,
Miyota Caliber 83S0,Automatic,
Miyota Caliber 8N24,Automatic,
Miyota Caliber 8N26,Automatic,
Miyota Caliber 9015,Automatic,
Miyota Caliber 9015 GILT,Automatic,
Miyota Caliber 9019,Automatic,
Miyota Caliber 9029,Automatic,
Miyota Caliber 9039,Automatic,
Miyota Caliber 9075,Automatic,
Miyota Caliber 90S5,Automatic,
Miyota Caliber 9100,Automatic,
Miyota (Citizen) Caliber 8204,Automatic,
Miyota/Citizen Caliber 9051,Automatic,
Monta Caliber M-23,Automatic,
Montblanc Caliber 4810-502,Automatic,
Montblanc Caliber 4810-503,Automatic,
Mühle-Glashütte Caliber SW 280-1 version Mühle,Automatic,
NOMOS Caliber DUW 3001,Automatic,
NOMOS Caliber DUW 5001,Automatic,
NOMOS Caliber DUW 5101,Automatic,
NOMOS Caliber DUW 5201,Automatic,
Nord Zeitmaschine Caliber NORD N3,Automatic,
Norqain Caliber NN08,Automatic,
Norqain Caliber NN09,Automatic,
Norqain Caliber NN20/1,Automatic,
Norqain Caliber NN20/2,Automatic,
Omega Caliber 1109,Automatic,
Omega Caliber 1120,Automatic,
Omega Caliber 1128,Automatic,
Omega Caliber 1150,Automatic,
Omega Caliber 3304,Automatic,
Omega Caliber 3330,Automatic,
Omega Caliber 3888,Automatic,
Omega Caliber 551,Automatic,
Omega Caliber 562,Automatic,
Omega Caliber 563,Automatic,
Omega Caliber 570,Automatic,
Omega Caliber 571,Automatic,
Omega Caliber 8500,Automatic,
Omega Caliber 8508,Automatic,
Omega Caliber 8520,Automatic,
Omega Caliber 8521,Automatic,
Omega Caliber 8605,Automatic,
Omega Caliber 8800,Automatic,
Omega Caliber 8801,Automatic,
Omega Caliber 8802,Automatic,
Omega Caliber 8803,Automatic,
Omega Caliber 8804,Automatic,
Omega Caliber 9300,Automatic,
Omega Caliber 9900,Automatic,
Omega Caliber 9904,Automatic,
Omega Caliber 9920,Automatic,
Orient Caliber 40N52,Automatic,
Orient Caliber 46941,Automatic,
Orient Caliber 55741,Automatic,
Orient Caliber F4902,Automatic,
Orient Caliber F6222,Automatic,
Orient Caliber F6722,Automatic,
Orient Caliber F6724,Automatic,
Orient Caliber F6922,Automatic,
Orient Caliber F6B22,Automatic,
Orient Caliber F6B24,Automatic,
Orient Caliber F6L24,Automatic,
Orient Caliber F6N43,Automatic,
Orient Caliber F6N47,Automatic,
Orient Caliber F6T22,Automatic,
Oris Caliber 400,Automatic,
