name,type,inhouse
Agenhor Caliber AGH-6801,Mechanical,
Airain Caliber AM1,Mechanical,
Alpina Caliber 592,Mechanical,
Alpina Caliber AL-435,Mechanical,
Armin Strom Caliber ARF21,Mechanical,
Arola Caliber AR 165,Mechanical,
A. Schild Caliber AS 1012,Mechanical,
A. Schild Caliber AS 1194,Mechanical,
A. Schild Caliber AS 1200,Mechanical,
A. Schild Caliber AS 1220,Mechanical,
A. Schild Caliber AS 1475,Mechanical,
A. Schild Caliber AS 1702/03,Mechanical,
A. Schild Caliber AS 1726 / 1727,Mechanical,
Ataelier Haute Complication Caliber Architecture Mécanique N°1,Mechanical,
Audemars Piguet Caliber 2001,Mechanical,
Audemars Piguet Caliber K2002,Mechanical,
Bulgari Caliber BVL 100 Piccolissimo,Mechanical,
Bulgari Caliber BVL 268,Mechanical,
Buren Caliber 410,Mechanical,
Cartier Caliber 045MC,Mechanical,
Cartier Caliber 1917 MC,Mechanical,
Certina Caliber 25-66M,Mechanical,
Chronoswiss Caliber C.112,Mechanical,
Chronoswiss Caliber C.672,Mechanical,
Credor Caliber 7R31,Mechanical,
Cyma Caliber 586 K,Mechanical,
Cyma Caliber R.458,Mechanical,
Cyrus Caliber CYR625,Mechanical,
DoKo Feinmechanik Caliber DKF ZS 98,Mechanical,
Dreyfuss & Co. Caliber 39,Mechanical,
Ebauches Bettlach Caliber EB 8810,Mechanical,
E. Schlup-Arbecht Stopwatch Movement,Mechanical,
ETA Caliber 1260,Mechanical,
ETA Caliber 2390,Mechanical,
ETA Caliber 2804-2,Mechanical,
ETA Caliber 2850,Mechanical,
ETA Caliber 2851,Mechanical,
ETA Caliber C07.XXX,Mechanical,
ETA/Peseux Caliber 7001,Mechanical,
ETA/Unitas Caliber 6325,Mechanical,
ETA/Unitas Caliber 6497,Mechanical,
ETA Unitas Caliber 6497-1 VS. 6497-2,Mechanical,
ETA Unitas Caliber 6497 Assembly/Disassembly,Mechanical,
ETA Unitas Caliber 6497 VS. 6498,Mechanical,
ETA/Unitas Caliber 6498-1,Mechanical,
ETA Unitas Caliber 6498-1 VS. 6498-2,Mechanical,
ETA/Unitas Caliber 6498-2,Mechanical,
ETA/Unitas Caliber 6503,Mechanical,
ETA/Valjoux Caliber 7760,Mechanical,
Eterna Caliber 520U,Mechanical,
Fabrique d’Horlogerie de Fontainemelon Caliber FHF 97,Mechanical,
Felsa Caliber 465,Mechanical,
Gerald Genta Caliber GG-001,Mechanical,
Glashütte Original Caliber 61,Mechanical,
Glashutte Original Caliber 66-12,Mechanical,
GoS Caliber GoS01,Mechanical,
Grand Seiko Caliber 9R31,Mechanical,
Grand Seiko Caliber T0 (T-Zero),Mechanical,
Greubel Forsey Caliber GF02N,Mechanical,
Gucci Caliber GG727.25.TS,Mechanical,
Hamilton Caliber 60,Mechanical,
Hamilton Caliber H-50,Mechanical,
H. Moser & Cie Caliber HMC 324,Mechanical,
Hublot Caliber HUB9005,Mechanical,
Hublot Caliber MP-11,Mechanical,
Ingersoll Caliber 519,Mechanical,
Konstantin Chaykin Caliber K.01-5,Mechanical,
Konstantin Chaykin Caliber K.06-0,Mechanical,
KUDOKE Caliber 1,Mechanical,
KUDOKE Caliber 1-24H,Mechanical,
Laurent Ferrier Caliber LF126.01,Mechanical,
LIP Caliber R.016,Mechanical,
